Zone,Continent
Afghanistan,Asie
Afrique du Sud,Afrique
Albanie,Europe
Algérie,Afrique
Allemagne,Europe
Andorre,Europe
Angola,Afrique
Anguilla,Amériques
Antigua-et-Barbuda,Amériques
Antilles néerlandaises (ex),Amériques
Arabie saoudite,Asie
Argentine,Amériques
Arménie,Asie
Aruba,Amériques
Australie,Océanie
Autriche,Europe
Azerbaïdjan,Asie
Bahamas,Amériques
Bahreïn,Asie
Bangladesh,Asie
Barbade,Amériques
Bélarus,Europe
Belgique,Europe
Belize,Amériques
Bénin,Afrique
Bermudes,Amériques
Bhoutan,Asie
Bolivie (État plurinational de),Amériques
"Bonaire, Saint-Eustache et Saba",Amériques
Bosnie-Herzégovine,Europe
Botswana,Afrique
Brésil,Amériques
Brunéi Darussalam,Asie
Bulgarie,Europe
Burkina Faso,Afrique
Burundi,Afrique
Cabo Verde,Afrique
Cambodge,Asie
Cameroun,Afrique
Canada,Amériques
Chili,Amériques
Chine - RAS de Hong-Kong,Asie
Chine - RAS de Macao,Asie
"Chine, continentale",Asie
"Chine, Taiwan Province de",Asie
Chypre,Asie
Colombie,Amériques
Comores,Afrique
Congo,Afrique
Costa Rica,Amériques
Côte d'Ivoire,Afrique
Croatie,Europe
Cuba,Amériques
Curaçao,Amériques
Danemark,Europe
Djibouti,Afrique
Dominique,Amériques
Égypte,Afrique
El Salvador,Amériques
Émirats arabes unis,Asie
Équateur,Amériques
Érythrée,Afrique
Espagne,Europe
Estonie,Europe
Eswatini,Afrique
États-Unis d'Amérique,Amériques
Éthiopie,Afrique
Fédération de Russie,Europe
Fidji,Océanie
Finlande,Europe
France,Europe
Gabon,Afrique
Gambie,Afrique
Géorgie,Asie
Ghana,Afrique
Gibraltar,Europe
Grèce,Europe
Grenade,Amériques
Groenland,Amériques
Guadeloupe,Amériques
Guam,Océanie
Guatemala,Amériques
Guinée,Afrique
Guinée équatoriale,Afrique
Guinée-Bissau,Afrique
Guyana,Amériques
Guyane française,Amériques
Haïti,Amériques
Honduras,Amériques
Hongrie,Europe
Île de Man,Europe
Îles Anglo-Normandes,Europe
Îles Caïmanes,Amériques
Îles Cook,Océanie
Îles Falkland (Malvinas),Amériques
Îles Féroé,Europe
