Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5511,Production,2731,Viande de Bovins,2008,2008,Milliers de tonnes,133,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5611,Importations - Quantité,2731,Viande de Bovins,2008,2008,Milliers de tonnes,1,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5301,Disponibilité intérieure,2731,Viande de Bovins,2008,2008,Milliers de tonnes,134,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5142,Nourriture,2731,Viande de Bovins,2008,2008,Milliers de tonnes,134,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,645,Disponibilité alimentaire en quantité (kg/personne/an),2731,Viande de Bovins,2008,2008,kg,4.97,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,664,Disponibilité alimentaire (Kcal/personne/jour),2731,Viande de Bovins,2008,2008,Kcal/personne/jour,29,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,674,Disponibilité de protéines en quantité (g/personne/jour),2731,Viande de Bovins,2008,2008,g/personne/jour,2.05,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,684,Disponibilité de matière grasse en quantité (g/personne/jour),2731,Viande de Bovins,2008,2008,g/personne/jour,2.27,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5511,Production,2732,Viande d'Ovins/Caprins,2008,2008,Milliers de tonnes,128,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5301,Disponibilité intérieure,2732,Viande d'Ovins/Caprins,2008,2008,Milliers de tonnes,128,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5142,Nourriture,2732,Viande d'Ovins/Caprins,2008,2008,Milliers de tonnes,128,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,645,Disponibilité alimentaire en quantité (kg/personne/an),2732,Viande d'Ovins/Caprins,2008,2008,kg,4.75,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,664,Disponibilité alimentaire (Kcal/personne/jour),2732,Viande d'Ovins/Caprins,2008,2008,Kcal/personne/jour,30,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,674,Disponibilité de protéines en quantité (g/personne/jour),2732,Viande d'Ovins/Caprins,2008,2008,g/personne/jour,1.86,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,684,Disponibilité de matière grasse en quantité (g/personne/jour),2732,Viande d'Ovins/Caprins,2008,2008,g/personne/jour,2.42,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5511,Production,2734,Viande de Volailles,2008,2008,Milliers de tonnes,21,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5611,Importations - Quantité,2734,Viande de Volailles,2008,2008,Milliers de tonnes,32,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5301,Disponibilité intérieure,2734,Viande de Volailles,2008,2008,Milliers de tonnes,53,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5142,Nourriture,2734,Viande de Volailles,2008,2008,Milliers de tonnes,53,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,645,Disponibilité alimentaire en quantité (kg/personne/an),2734,Viande de Volailles,2008,2008,kg,1.96,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,664,Disponibilité alimentaire (Kcal/personne/jour),2734,Viande de Volailles,2008,2008,Kcal/personne/jour,7,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,674,Disponibilité de protéines en quantité (g/personne/jour),2734,Viande de Volailles,2008,2008,g/personne/jour,0.7,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,684,Disponibilité de matière grasse en quantité (g/personne/jour),2734,Viande de Volailles,2008,2008,g/personne/jour,0.43,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5511,Production,2735,"Viande, Autre",2008,2008,Milliers de tonnes,12,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5611,Importations - Quantité,2735,"Viande, Autre",2008,2008,Milliers de tonnes,1,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5301,Disponibilité intérieure,2735,"Viande, Autre",2008,2008,Milliers de tonnes,13,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,5142,Nourriture,2735,"Viande, Autre",2008,2008,Milliers de tonnes,13,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,645,Disponibilité alimentaire en quantité (kg/personne/an),2735,"Viande, Autre",2008,2008,kg,0.46,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,664,Disponibilité alimentaire (Kcal/personne/jour),2735,"Viande, Autre",2008,2008,Kcal/personne/jour,2,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,674,Disponibilité de protéines en quantité (g/personne/jour),2735,"Viande, Autre",2008,2008,g/personne/jour,0.21,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),2,Afghanistan,684,Disponibilité de matière grasse en quantité (g/personne/jour),2735,"Viande, Autre",2008,2008,g/personne/jour,0.09,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,5511,Production,2731,Viande de Bovins,2008,2008,Milliers de tonnes,783,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,5611,Importations - Quantité,2731,Viande de Bovins,2008,2008,Milliers de tonnes,9,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,5072,Variation de stock,2731,Viande de Bovins,2008,2008,Milliers de tonnes,0,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,5911,Exportations - Quantité,2731,Viande de Bovins,2008,2008,Milliers de tonnes,16,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,5301,Disponibilité intérieure,2731,Viande de Bovins,2008,2008,Milliers de tonnes,777,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,5154,Autres utilisations (non alimentaire),2731,Viande de Bovins,2008,2008,Milliers de tonnes,8,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,5142,Nourriture,2731,Viande de Bovins,2008,2008,Milliers de tonnes,769,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,645,Disponibilité alimentaire en quantité (kg/personne/an),2731,Viande de Bovins,2008,2008,kg,15.29,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,664,Disponibilité alimentaire (Kcal/personne/jour),2731,Viande de Bovins,2008,2008,Kcal/personne/jour,95,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,674,Disponibilité de protéines en quantité (g/personne/jour),2731,Viande de Bovins,2008,2008,g/personne/jour,6.18,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,684,Disponibilité de matière grasse en quantité (g/personne/jour),2731,Viande de Bovins,2008,2008,g/personne/jour,7.59,Fc,Donnée calculée
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,5511,Production,2732,Viande d'Ovins/Caprins,2008,2008,Milliers de tonnes,172,S,Données standardisées
FBSH,Bilans Alimentaire (Ancienne méthodologie et population),202,Afrique du Sud,5611,Importations - Quantité,2732,Viande d'Ovins/Caprins,2008,2008,Milliers de tonnes,25,S,Données standardisées
