Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
MK,Indicateurs macro,2,Afghanistan,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,17986.9675,X,Sources internationales sûres,
MK,Indicateurs macro,2,Afghanistan,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2018,2018,US$,483.885875,X,Sources internationales sûres,
MK,Indicateurs macro,202,Afrique du Sud,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,368093.93237,X,Sources internationales sûres,
MK,Indicateurs macro,202,Afrique du Sud,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2018,2018,US$,6369.231608,X,Sources internationales sûres,
MK,Indicateurs macro,3,Albanie,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,15147.025232,X,Sources internationales sûres,
MK,Indicateurs macro,3,Albanie,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2018,2018,US$,5254.384798,X,Sources internationales sûres,
MK,Indicateurs macro,4,Algérie,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,175415.000298,X,Sources internationales sûres,
MK,Indicateurs macro,4,Algérie,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2018,2018,US$,4153.95722,X,Sources internationales sûres,
MK,Indicateurs macro,79,Allemagne,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,3963767.526251,X,Sources internationales sûres,
MK,Indicateurs macro,79,Allemagne,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2018,2018,US$,47684.755233,X,Sources internationales sûres,
MK,Indicateurs macro,6,Andorre,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,3218.419456,X,Sources internationales sûres,
MK,Indicateurs macro,6,Andorre,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2018,2018,US$,41794.398572,X,Sources internationales sûres,
MK,Indicateurs macro,7,Angola,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,101353.211652,X,Sources internationales sûres,
MK,Indicateurs macro,7,Angola,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2018,2018,US$,3289.643374,X,Sources internationales sûres,
MK,Indicateurs macro,258,Anguilla,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,320.486953,X,Sources internationales sûres,
MK,Indicateurs macro,258,Anguilla,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2018,2018,US$,21755.953633,X,Sources internationales sûres,
MK,Indicateurs macro,8,Antigua-et-Barbuda,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,1605.351852,X,Sources internationales sûres,
MK,Indicateurs macro,8,Antigua-et-Barbuda,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2018,2018,US$,16672.74424,X,Sources internationales sûres,
MK,Indicateurs macro,194,Arabie saoudite,6110,Valeur US $,22008,Produit Intérieur Brut,2018,2018,millions,786521.831572,X,Sources internationales sûres,
