Zone,Distance
Afghanistan,1603.534
Afrique du Sud,9353.552
Albanie,1603.534
Algérie,1340.39
Allemagne,439.8984
Angola,6510.322
Antigua-et-Barbuda,6708.77
Arabie saoudite,4694.5
Argentine,11072.25
Arménie,3434.071
Australie,16975.46
Autriche,1035.144
Azerbaïdjan,3817.547
Bahamas,7209.45
Bangladesh,7916.79
Barbade,6882.34
Bélarus,1823.709
Belgique,262.3845
Belize,8664.439
Bénin,4726.537
Bolivie (État plurinational de),10038.45
Bosnie-Herzégovine,1352.463
Botswana,8522.764
Brésil,9408.406
Bulgarie,1760.707
Burkina Faso,4082.87
Cabo Verde,4452.386
Cambodge,9947.79
Cameroun,5085.718
Canada,6004.645
Chili,11663.39
Chine - RAS de Hong-Kong,9639.476
Chine - RAS de Macao,9601.923
"Chine, continentale",8225.232
"Chine, Taiwan Province de",9834.232
Chypre,2954.551
Colombie,8707.677
Congo,6041.018
Costa Rica,8919.449
Côte d'Ivoire,4884.159
Croatie,1081.762
Cuba,7729.485
Danemark,1027.609
Djibouti,5595.459
Dominique,6826.396
Égypte,3215.215
El Salvador,8984.298
Émirats arabes unis,5249.535
Équateur,9367.098
Espagne,1054.656
Estonie,1859.091
Eswatini,8846.426
États-Unis d'Amérique,5838.157
Éthiopie,5582.502
Fédération de Russie,2494.316
Fidji,16595.08
Finlande,1911.138
France,278.1876
Gabon,5438.787
Gambie,4308.25
Géorgie,3373.349
Ghana,4827.292
Grèce,2098.726
Grenade,7120.287
Guatemala,9001.048
Guinée,4691.556
Guinée-Bissau,4440.633
Guyana,7320.075
Haïti,7361.197
Honduras,8810.234
Hongrie,1247.24
Îles Salomon,15178.2
Inde,6594.23
Indonésie,11584.25
Iran (République islamique d'),4218.442
Iraq,3867.434
Irlande,778.2031
Islande,2234.723
Israël,3281.899
Italie,1109.901
Jamaïque,7734.696
Japon,9725.629
Jordanie,3371.398
Kazakhstan,5561.785
Kenya,6491.402
Kirghizistan,5424.702
Kiribati,14371.47
Koweït,4415.222
Lesotho,9054.14
Lettonie,1704.598
Liban,3197.032
Libéria,4892.298
Lituanie,1700.296
Luxembourg,289.1023
Macédoine du Nord,1672.04
Madagascar,8763.332
Malaisie,10436.4
Malawi,7650.657
Maldives,8294.178
Mali,4139.756
Malte,1752.693
Maroc,1816.853
Maurice,9422.744
Mauritanie,3794.96
Mexique,9206.813
Mongolie,7053.423
Monténégro,1449.718
Mozambique,8855.655
Myanmar,8892.726
Namibie,8084.97
Népal,7244.016
Nicaragua,8906.699
Niger,3932.638
Nigéria,4722.149
Norvège,1342.89
Nouvelle-Calédonie,16757.74
Nouvelle-Zélande,19263.88
Oman,5620.005
Ouganda,6128.938
Ouzbékistan,5153.064
Pakistan,5932.586
Panama,8671.104
Paraguay,10168.73
Pays-Bas,427.9169
Pérou,10268.11
Philippines,10751.64
Pologne,1368.178
Polynésie française,15724.43
Portugal,1452.86
République centrafricaine,5186.042
République de Corée,8981.467
République de Moldova,1976.854
République démocratique populaire lao,9245.57
République dominicaine,7178.52
République populaire démocratique de Corée,8783.568
République-Unie de Tanzanie,7168.277
Roumanie,1875.018
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,342.9475
Rwanda,6253.41
Saint-Kitts-et-Nevis,6760.687
Saint-Vincent-et-les Grenadines,6989.701
Sainte-Lucie,6903.772
Samoa,16011.92
Sao Tomé-et-Principe,5432.882
Sénégal,4217.159
Serbie,1449.718
Sierra Leone,4724.351
Slovaquie,1094.61
Slovénie,965.7366
Soudan,4612.387
Sri Lanka,8526.015
Suède,1545.797
Suisse,436.0778
Suriname,7196.987
Tadjikistan,5291.823
Tchad,4248.435
Tchéquie,884.6105
Thaïlande,9454.805
Timor-Leste,13128.84
Togo,4753.381
Trinité-et-Tobago,7225.325
Tunisie,1483.828
Turkménistan,4581.08
Turquie,2255.81
Ukraine,2025.144
Uruguay,10972.42
Vanuatu,16346.35
Venezuela (République bolivarienne du),7618.86
Viet Nam,9208.554
Yémen,5317.261
Zambie,7604.841
Zimbabwe,7949.676
